timestamp,temperature,humidity,soil_moisture,is_anomaly
2026-01-01 00:00:00,30.75,47.48,31.29,0
2026-01-01 00:10:00,30.24,47.97,29.39,0
2026-01-01 00:20:00,30.44,49.88,30.93,0
2026-01-01 00:30:00,30.67,48.18,30.19,0
2026-01-01 00:40:00,29.59,49.11,30.28,0
2026-01-01 00:50:00,29.39,51.53,28.54,0
2026-01-01 01:00:00,30.08,50.52,28.41,0
2026-01-01 01:10:00,29.47,52.65,30.05,0
2026-01-01 01:20:00,28.63,54.09,30.5,0
2026-01-01 01:30:00,28.92,52.64,29.48,0
2026-01-01 01:40:00,28.2,54.37,29.6,0
2026-01-01 01:50:00,27.99,53.19,31.01,0
2026-01-01 02:00:00,28.12,55.75,31.12,0
2026-01-01 02:10:00,26.83,55.85,30.67,0
2026-01-01 02:20:00,26.7,56.78,31.53,0
2026-01-01 02:30:00,27.07,56.31,30.09,0
2026-01-01 02:40:00,26.63,55.94,30.89,0
2026-01-01 02:50:00,27.07,58.75,32.63,0
2026-01-01 03:00:00,26.25,56.82,31.52,0
2026-01-01 03:10:00,25.79,59.19,31.72,0
2026-01-01 03:20:00,27.02,61.07,33.63,0
2026-01-01 03:30:00,25.97,60.93,30.84,0
2026-01-01 03:40:00,25.92,63.29,32.77,0
2026-01-01 03:50:00,24.98,62.95,33.64,0
2026-01-01 04:00:00,25.23,61.85,32.24,0
2026-01-01 04:10:00,25.37,63.09,33.38,0
2026-01-01 04:20:00,24.56,63.56,32.1,0
2026-01-01 04:30:00,25.14,62.55,32.54,0
2026-01-01 04:40:00,24.49,63.7,33.6,0
2026-01-01 04:50:00,24.48,64.57,34.14,0
2026-01-01 05:00:00,24.16,63.57,34.6,0
2026-01-01 05:10:00,25.24,66.11,35.17,0
2026-01-01 05:20:00,24.16,66.24,34.08,0
2026-01-01 05:30:00,23.5,65.23,35.3,0
2026-01-01 05:40:00,24.32,67.69,34.29,0
2026-01-01 05:50:00,23.17,68.37,35.5,0
2026-01-01 06:00:00,23.77,68.22,35.17,0
2026-01-01 06:10:00,22.59,67.98,35.57,0
2026-01-01 06:20:00,22.8,69.19,35.77,0
2026-01-01 06:30:00,23.48,69.54,34.37,0
2026-01-01 06:40:00,23.67,69.4,34.97,0
2026-01-01 06:50:00,23.32,68.48,36.16,0
2026-01-01 07:00:00,23.11,69.77,34.94,0
2026-01-01 07:10:00,22.97,70.84,37.17,0
2026-01-01 07:20:00,22.34,69.18,37.41,0
2026-01-01 07:30:00,22.68,71.97,37.18,0
2026-01-01 07:40:00,22.79,69.42,36.22,0
2026-01-01 07:50:00,23.53,70.02,38.41,0
2026-01-01 08:00:00,23.17,69.33,39.13,0
2026-01-01 08:10:00,22.12,70.21,37.8,0
2026-01-01 08:20:00,23.18,68.2,38.28,0
2026-01-01 08:30:00,22.85,69.33,38.21,0
2026-01-01 08:40:00,22.74,68.68,38.64,0
2026-01-01 08:50:00,23.42,69.78,38.28,0
2026-01-01 09:00:00,23.69,70.48,38.51,0
2026-01-01 09:10:00,23.7,69.95,39.41,0
2026-01-01 09:20:00,22.88,66.72,40.71,0
2026-01-01 09:30:00,23.23,70.9,37.85,0
2026-01-01 09:40:00,23.63,68.89,39.01,0
2026-01-01 09:50:00,24.05,67.53,38.27,0
2026-01-01 10:00:00,23.43,68.15,40.6,0
2026-01-01 10:10:00,23.69,67.83,38.96,0
2026-01-01 10:20:00,23.35,66.62,38.38,0
2026-01-01 10:30:00,23.44,67.1,40.13,0
2026-01-01 10:40:00,24.58,65.88,41.09,0
2026-01-01 10:50:00,24.99,65.65,40.3,0
2026-01-01 11:00:00,24.43,64.92,39.99,0
2026-01-01 11:10:00,25.12,63.7,40.21,0
2026-01-01 11:20:00,24.97,64.79,41.06,0
2026-01-01 11:30:00,24.63,64.72,39.26,0
2026-01-01 11:40:00,25.31,64.12,39.89,0
2026-01-01 11:50:00,26.08,63.88,39.63,0
2026-01-01 12:00:00,25.48,62.82,39.07,0
2026-01-01 12:10:00,26.47,61.39,39.73,0
2026-01-01 12:20:00,24.58,62.18,40.87,0
2026-01-01 12:30:00,26.5,59.38,40.41,0
2026-01-01 12:40:00,26.33,59.23,40.44,0
2026-01-01 12:50:00,26.35,58.55,40.0,0
2026-01-01 13:00:00,26.75,59.96,40.25,0
2026-01-01 13:10:00,25.92,59.19,39.13,0
2026-01-01 13:20:00,27.02,58.09,39.45,0
2026-01-01 13:30:00,27.53,58.03,39.77,0
2026-01-01 13:40:00,28.3,55.43,39.75,0
